,id,original_description,code,nearest_level1_code,original_code_system,article,code_description,level1_code_description
409,410,Heart failure,402.01,402,ICD9,Caminal et al (2004),Malignant hypertensive heart disease with heart failure,Hypertensive heart disease
410,411,Heart failure,402.11,402,ICD9,Caminal et al (2004),Benign hypertensive heart disease with heart failure,Hypertensive heart disease
411,412,Heart failure,402.91,402,ICD9,Caminal et al (2004),Unspecified hypertensive heart disease with heart failure,Hypertensive heart disease
412,413,Hypertensive heart disease,410,410,ICD9,Caminal et al (2004),Acute myocardial infarction,Acute myocardial infarction
413,414,Hypertensive heart disease,411,411,ICD9,Caminal et al (2004),Other acute and subacute forms of ischemic heart disease,Other acute and subacute forms of ischemic heart disease
414,415,Hypertensive heart disease,412,412,ICD9,Caminal et al (2004),Old myocardial infarction,Old myocardial infarction
415,416,Hypertensive heart disease,413,413,ICD9,Caminal et al (2004),Angina pectoris,Angina pectoris
416,417,Hypertensive heart disease,414,414,ICD9,Caminal et al (2004),Other forms of chronic ischemic heart disease,Other forms of chronic ischemic heart disease
417,418,Heart failure,428,428,ICD9,Caminal et al (2004),Heart failure,Heart failure
418,419,Hypertensive heart disease,430,430,ICD9,Caminal et al (2004),Subarachnoid hemorrhage,Subarachnoid hemorrhage
419,420,Hypertensive heart disease,431,431,ICD9,Caminal et al (2004),Intracerebral hemorrhage,Intracerebral hemorrhage
420,421,Hypertensive heart disease,436,436,ICD9,Caminal et al (2004),"Acute, but ill-defined, cerebrovascular disease","Acute, but ill-defined, cerebrovascular disease"
421,422,Hypertensive heart disease,437.2,437,ICD9,Caminal et al (2004),Hypertensive encephalopathy,Other and ill-defined cerebrovascular disease
422,423,Diseases of the upper respiratory tract,463,463,ICD9,Caminal et al (2004),Acute tonsillitis,Acute tonsillitis
423,424,Diseases of the upper respiratory tract,465,465,ICD9,Caminal et al (2004),Acute upper respiratory infections of multiple or unspecified sites,Acute upper respiratory infections of multiple or unspecified sites
424,425,Diseases of the upper respiratory tract,475,475,ICD9,Caminal et al (2004),Peritonsillar abscess,Peritonsillar abscess
425,426,Pneumonia,481,481,ICD9,Caminal et al (2004),Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
426,427,Pneumonia,482.2,482,ICD9,Caminal et al (2004),Pneumonia due to Hemophilus influenzae [H. influenzae],Other bacterial pneumonia
427,428,Pneumonia,482.3,482,ICD9,Caminal et al (2004),Pneumonia due to Streptococcus,Other bacterial pneumonia
428,429,Pneumonia,482.9,482,ICD9,Caminal et al (2004),"Bacterial pneumonia, unspecified",Other bacterial pneumonia
429,430,Pneumonia,483,483,ICD9,Caminal et al (2004),Pneumonia due to other specified organism,Pneumonia due to other specified organism
430,431,Pneumonia,485,485,ICD9,Caminal et al (2004),"Bronchopneumonia, organism unspecified","Bronchopneumonia, organism unspecified"
431,432,Pneumonia,486,486,ICD9,Caminal et al (2004),"Pneumonia, organism unspecified","Pneumonia, organism unspecified"
432,433,Bronchitis / Chronic obstructive pulmonary disease (COAD),466.0,466,ICD9,Caminal et al (2004),Acute bronchitis,Acute bronchitis and bronchiolitis
433,434,Bronchitis / Chronic obstructive pulmonary disease (COAD),490,490,ICD9,Caminal et al (2004),"Bronchitis, not specified as acute or chronic","Bronchitis, not specified as acute or chronic"
434,435,Bronchitis / Chronic obstructive pulmonary disease (COAD),491,491,ICD9,Caminal et al (2004),Chronic bronchitis,Chronic bronchitis
435,436,Bronchitis / Chronic obstructive pulmonary disease (COAD),492,492,ICD9,Caminal et al (2004),Emphysema,Emphysema
436,437,Bronchitis / Chronic obstructive pulmonary disease (COAD),494,494,ICD9,Caminal et al (2004),Bronchiectasis,Bronchiectasis
437,438,Bronchitis / Chronic obstructive pulmonary disease (COAD),496,496,ICD9,Caminal et al (2004),"Chronic airway obstruction, not elsewhere classified","Chronic airway obstruction, not elsewhere classified"
438,439,Asthma,493,493,ICD9,Caminal et al (2004),Asthma,Asthma
439,440,Heart failure,518.4,518,ICD9,Caminal et al (2004),"Acute edema of lung, unspecified",Other diseases of lung
440,441,Bleeding or perforating ulcer,531.0,531,ICD9,Caminal et al (2004),Acute gastric ulcer with hemorrhage,Gastric ulcer
441,442,Bleeding or perforating ulcer,531.2,531,ICD9,Caminal et al (2004),Acute gastric ulcer with hemorrhage and perforation,Gastric ulcer
442,443,Bleeding or perforating ulcer,531.4,531,ICD9,Caminal et al (2004),Chronic or unspecified gastric ulcer with hemorrhage,Gastric ulcer
443,444,Bleeding or perforating ulcer,531.6,531,ICD9,Caminal et al (2004),Chronic or unspecified gastric ulcer with hemorrhage and perforation,Gastric ulcer
444,445,Bleeding or perforating ulcer,532.0,532,ICD9,Caminal et al (2004),Acute duodenal ulcer with hemorrhage,Duodenal ulcer
445,446,Bleeding or perforating ulcer,532.2,532,ICD9,Caminal et al (2004),Acute duodenal ulcer with hemorrhage and perforation,Duodenal ulcer
446,447,Bleeding or perforating ulcer,532.4,532,ICD9,Caminal et al (2004),Chronic or unspecified duodenal ulcer with hemorrhage,Duodenal ulcer
447,448,Bleeding or perforating ulcer,532.6,532,ICD9,Caminal et al (2004),Chronic or unspecified duodenal ulcer with hemorrhage and perforation,Duodenal ulcer
448,449,Bleeding or perforating ulcer,533.0,533,ICD9,Caminal et al (2004),Acute peptic ulcer of unspecified site with hemorrhage,"Peptic ulcer, site unspecified"
449,450,Bleeding or perforating ulcer,533.2,533,ICD9,Caminal et al (2004),Acute peptic ulcer of unspecified site with hemorrhage and perforation,"Peptic ulcer, site unspecified"
450,451,Bleeding or perforating ulcer,533.4,533,ICD9,Caminal et al (2004),Chronic or unspecified peptic ulcer of unspecified site with hemorrhage,"Peptic ulcer, site unspecified"
451,452,Bleeding or perforating ulcer,533.6,533,ICD9,Caminal et al (2004),Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation,"Peptic ulcer, site unspecified"
452,453,Appendicitis with complication,540.0,540,ICD9,Caminal et al (2004),Acute appendicitis with generalized peritonitis,Acute appendicitis
453,454,Appendicitis with complication,540.1,540,ICD9,Caminal et al (2004),Acute appendicitis with peritoneal abscess,Acute appendicitis
454,455,Gastroenteritis,558.9,558,ICD9,Caminal et al (2004),Other and unspecified noninfectious gastroenteritis and colitis,Other and unspecified noninfectious gastroenteritis and colitis
455,456,Urinary tract infections,590.0,590,ICD9,Caminal et al (2004),Chronic pyelonephritis,Infections of kidney
456,457,Urinary tract infections,590.1,590,ICD9,Caminal et al (2004),Acute pyelonephritis,Infections of kidney
457,458,Urinary tract infections,599.0,599,ICD9,Caminal et al (2004),"Urinary tract infection, site not specified",Other disorders of urethra and urinary tract
458,459,Urinary tract infections,590.8,590,ICD9,Caminal et al (2004),"Other pyelonephritis or pyonephrosis, not specified as acute or chronic",Infections of kidney
459,460,Pelvic inflammatory disease,614,614,ICD9,Caminal et al (2004),"Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum","Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum"
460,461,Disease of the skin and subcutaneous tissue,681,681,ICD9,Caminal et al (2004),Cellulitis and abscess of finger and toe,Cellulitis and abscess of finger and toe
461,462,Disease of the skin and subcutaneous tissue,682,682,ICD9,Caminal et al (2004),Other cellulitis and abscess,Other cellulitis and abscess
462,463,Disease of the skin and subcutaneous tissue,683,683,ICD9,Caminal et al (2004),Acute lymphadenitis,Acute lymphadenitis
463,464,Disease of the skin and subcutaneous tissue,686,686,ICD9,Caminal et al (2004),Other local infections of skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue
464,465,Convulsions,780.3,780,ICD9,Caminal et al (2004),Convulsions,General symptoms
465,466,Gastroenteritis,A08.0,A08,ICD10,Jones et al (2018),Rotaviral enteritis,Viral and other specified intestinal infections
466,467,Gastroenteritis,A08.1,A08,ICD10,Jones et al (2018),Acute gastroenteropathy due to Norwalk agent and other small round viruses,Viral and other specified intestinal infections
467,468,Gastroenteritis,A08.2,A08,ICD10,Jones et al (2018),Adenoviral enteritis,Viral and other specified intestinal infections
468,469,Gastroenteritis,A08.3,A08,ICD10,Jones et al (2018),Other viral enteritis,Viral and other specified intestinal infections
469,470,Gastroenteritis,A08.4,A08,ICD10,Jones et al (2018),"Viral intestinal infection, unspecified",Viral and other specified intestinal infections
470,471,Gastroenteritis,A08.5,A08,ICD10,Jones et al (2018),ERROR,Viral and other specified intestinal infections
471,472,Gastroenteritis,A09.0,A09,ICD10,Jones et al (2018),ERROR,"Infectious gastroenteritis and colitis, unspecified"
472,473,Gastroenteritis,A09.9,A09,ICD10,Jones et al (2018),ERROR,"Infectious gastroenteritis and colitis, unspecified"
473,474,Volume depletion and other disorders of electrolyte and acid-base balance,E86,E86,ICD10,Jones et al (2018),Volume depletion,Volume depletion
474,475,Volume depletion and other disorders of electrolyte and acid-base balance,E87,E87,ICD10,Jones et al (2018),"Other disorders of fluid, electrolyte and acid-base balance","Other disorders of fluid, electrolyte and acid-base balance"
475,476,Physiological jaundice,P59.3,P59,ICD10,Jones et al (2018),Neonatal jaundice from breast milk inhibitor,Neonatal jaundice from other and unspecified causes
476,477,Physiological jaundice,P59.9,P59,ICD10,Jones et al (2018),"Neonatal jaundice, unspecified",Neonatal jaundice from other and unspecified causes
477,478,Feeding difficulties,P92.2,P92,ICD10,Jones et al (2018),Slow feeding of newborn,Feeding problems of newborn
478,479,Feeding difficulties,P92.3,P92,ICD10,Jones et al (2018),Underfeeding of newborn,Feeding problems of newborn
479,480,Feeding difficulties,P92.4,P92,ICD10,Jones et al (2018),Overfeeding of newborn,Feeding problems of newborn
480,481,Feeding difficulties,P92.5,P92,ICD10,Jones et al (2018),Neonatal difficulty in feeding at breast,Feeding problems of newborn
481,482,Feeding difficulties,P92.8,P92,ICD10,Jones et al (2018),Other feeding problems of newborn,Feeding problems of newborn
482,483,Feeding difficulties,P92.9,P92,ICD10,Jones et al (2018),"Feeding problem of newborn, unspecified",Feeding problems of newborn
483,484,Physiological jaundice,R17,R17,ICD10,Jones et al (2018),Unspecified jaundice,Unspecified jaundice
484,485,Feeding difficulties,R63.3,R63,ICD10,Jones et al (2018),Feeding difficulties,Symptoms and signs concerning food and fluid intake
485,486,Physiological jaundice,S12.8,S12,ICD10,Jones et al (2018),Fracture of other parts of neck,Fracture of cervical vertebra and other parts of neck
486,487,Physiological jaundice,S12.9,S12,ICD10,Jones et al (2018),"Fracture of neck, unspecified",Fracture of cervical vertebra and other parts of neck
487,488,Diabetes Mellitus Type 2,E11,E11,ICD10,Bohnet-Joschko (2022),Type 2 diabetes mellitus,Type 2 diabetes mellitus
488,489,Volume depletion and other disorders of electrolyte and acid-base balance,E86,E86,ICD10,Bohnet-Joschko (2022),Volume depletion,Volume depletion
489,490,Volume depletion and other disorders of electrolyte and acid-base balance,E87,E87,ICD10,Bohnet-Joschko (2022),"Other disorders of fluid, electrolyte and acid-base balance","Other disorders of fluid, electrolyte and acid-base balance"
490,491,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K08,K08,ICD10,Bohnet-Joschko (2022),Other disorders of teeth and supporting structures,Other disorders of teeth and supporting structures
491,492,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K21,K21,ICD10,Bohnet-Joschko (2022),Gastro-esophageal reflux disease,Gastro-esophageal reflux disease
492,493,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K25,K25,ICD10,Bohnet-Joschko (2022),Gastric ulcer,Gastric ulcer
493,494,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K26,K26,ICD10,Bohnet-Joschko (2022),Duodenal ulcer,Duodenal ulcer
494,495,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K29,K29,ICD10,Bohnet-Joschko (2022),Gastritis and duodenitis,Gastritis and duodenitis
495,496,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K52,K52,ICD10,Bohnet-Joschko (2022),Other and unspecified noninfective gastroenteritis and colitis,Other and unspecified noninfective gastroenteritis and colitis
496,497,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K57,K57,ICD10,Bohnet-Joschko (2022),Diverticular disease of intestine,Diverticular disease of intestine
497,498,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K59,K59,ICD10,Bohnet-Joschko (2022),Other functional intestinal disorders,Other functional intestinal disorders
498,499,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",K62,K62,ICD10,Bohnet-Joschko (2022),Other diseases of anus and rectum,Other diseases of anus and rectum
499,500,"Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia",R13,R13,ICD10,Bohnet-Joschko (2022),Aphagia and dysphagia,Aphagia and dysphagia
500,501,Intestinal infections,A04,A04,ICD10,Bohnet-Joschko (2022),Other bacterial intestinal infections,Other bacterial intestinal infections
501,502,Intestinal infections,A08,A08,ICD10,Bohnet-Joschko (2022),Viral and other specified intestinal infections,Viral and other specified intestinal infections
502,503,Intestinal infections,A09,A09,ICD10,Bohnet-Joschko (2022),"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
503,504,Intestinal infections,R11,R11,ICD10,Bohnet-Joschko (2022),Nausea and vomiting,Nausea and vomiting
504,505,"Chronic kidney disease, cystitis, other diseases of the urinary system.",N18,N18,ICD10,Bohnet-Joschko (2022),Chronic kidney disease (CKD),Chronic kidney disease (CKD)
505,506,"Chronic kidney disease, cystitis, other diseases of the urinary system.",N30,N30,ICD10,Bohnet-Joschko (2022),Cystitis,Cystitis
506,507,"Chronic kidney disease, cystitis, other diseases of the urinary system.",N39,N39,ICD10,Bohnet-Joschko (2022),Other disorders of urinary system,Other disorders of urinary system
507,508,"Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome)",F01,F01,ICD10,Bohnet-Joschko (2022),Vascular dementia,Vascular dementia
508,509,"Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome)",G20,G20,ICD10,Bohnet-Joschko (2022),Parkinson's disease,Parkinson's disease
509,510,"Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome)",G30,G30,ICD10,Bohnet-Joschko (2022),Alzheimer's disease,Alzheimer's disease
510,511,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F05,F05,ICD10,Bohnet-Joschko (2022),Delirium due to known physiological condition,Delirium due to known physiological condition
511,512,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F06,F06,ICD10,Bohnet-Joschko (2022),Other mental disorders due to known physiological condition,Other mental disorders due to known physiological condition
512,513,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F07,F07,ICD10,Bohnet-Joschko (2022),Personality and behavioral disorders due to known physiological condition,Personality and behavioral disorders due to known physiological condition
513,514,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F10,F10,ICD10,Bohnet-Joschko (2022),Alcohol related disorders,Alcohol related disorders
514,515,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F20,F20,ICD10,Bohnet-Joschko (2022),Schizophrenia,Schizophrenia
515,516,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F32,F32,ICD10,Bohnet-Joschko (2022),Depressive episode,Depressive episode
516,517,"Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium",F33,F33,ICD10,Bohnet-Joschko (2022),"Major depressive disorder, recurrent","Major depressive disorder, recurrent"
517,518,"Other diseases of the nervous system (MS, epilepsy)",G35,G35,ICD10,Bohnet-Joschko (2022),Multiple sclerosis,Multiple sclerosis
518,519,"Other diseases of the nervous system (MS, epilepsy)",G40,G40,ICD10,Bohnet-Joschko (2022),Epilepsy and recurrent seizures,Epilepsy and recurrent seizures
519,520,Cataracta Senilis,H25,H25,ICD10,Bohnet-Joschko (2022),Age-related cataract,Age-related cataract
520,521,Anemias of different origin ,D50,D50,ICD10,Bohnet-Joschko (2022),Iron deficiency anemia,Iron deficiency anemia
521,522,Anemias of different origin ,D64,D64,ICD10,Bohnet-Joschko (2022),Other anemias,Other anemias
522,523,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I10,I10,ICD10,Bohnet-Joschko (2022),Essential (primary) hypertension,Essential (primary) hypertension
523,524,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I50,I50,ICD10,Bohnet-Joschko (2022),Heart failure,Heart failure
524,525,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I70,I70,ICD10,Bohnet-Joschko (2022),Atherosclerosis,Atherosclerosis
525,526,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I80,I80,ICD10,Bohnet-Joschko (2022),Phlebitis and thrombophlebitis,Phlebitis and thrombophlebitis
526,527,"Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.",I95,I95,ICD10,Bohnet-Joschko (2022),Hypotension,Hypotension
527,528,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J10,J10,ICD10,Bohnet-Joschko (2022),Influenza due to other identified influenza virus,Influenza due to other identified influenza virus
528,529,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J20,J20,ICD10,Bohnet-Joschko (2022),Acute bronchitis,Acute bronchitis
529,530,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J22,J22,ICD10,Bohnet-Joschko (2022),Unspecified acute lower respiratory infection,Unspecified acute lower respiratory infection
530,531,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J40,J40,ICD10,Bohnet-Joschko (2022),"Bronchitis, not specified as acute or chronic","Bronchitis, not specified as acute or chronic"
531,532,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",J44,J44,ICD10,Bohnet-Joschko (2022),Other chronic obstructive pulmonary disease,Other chronic obstructive pulmonary disease
532,533,"Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.",R07,R07,ICD10,Bohnet-Joschko (2022),Pain in throat and chest,Pain in throat and chest
533,534,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",A46,A46,ICD10,Bohnet-Joschko (2022),Erysipelas,Erysipelas
534,535,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",C44,C44,ICD10,Bohnet-Joschko (2022),Other and unspecified malignant neoplasm of skin,Other and unspecified malignant neoplasm of skin
535,536,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",L02,L02,ICD10,Bohnet-Joschko (2022),"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle"
536,537,"Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma",L89,L89,ICD10,Bohnet-Joschko (2022),Pressure ulcer,Pressure ulcer
537,538,"Back pain, disturbances of gait and mobility",M54,M54,ICD10,Bohnet-Joschko (2022),Dorsalgia,Dorsalgia
538,539,"Back pain, disturbances of gait and mobility",R26,R26,ICD10,Bohnet-Joschko (2022),Abnormalities of gait and mobility,Abnormalities of gait and mobility
539,540,Superficial injuries of various parts of the body,S00,S00,ICD10,Bohnet-Joschko (2022),Superficial injury of head,Superficial injury of head
540,541,Superficial injuries of various parts of the body,S01,S01,ICD10,Bohnet-Joschko (2022),Open wound of head,Open wound of head
541,542,Superficial injuries of various parts of the body,S20,S20,ICD10,Bohnet-Joschko (2022),Superficial injury of thorax,Superficial injury of thorax
542,543,Superficial injuries of various parts of the body,S30,S30,ICD10,Bohnet-Joschko (2022),"Superficial injury of abdomen, lower back, pelvis and external genitals","Superficial injury of abdomen, lower back, pelvis and external genitals"
543,544,Superficial injuries of various parts of the body,S70,S70,ICD10,Bohnet-Joschko (2022),Superficial injury of hip and thigh,Superficial injury of hip and thigh
544,545,Superficial injuries of various parts of the body,S80,S80,ICD10,Bohnet-Joschko (2022),Superficial injury of knee and lower leg,Superficial injury of knee and lower leg
545,546,Ischaemic heart diseases ,I20,I20,ICD10,Sundmacher et al (2015),Angina pectoris,Angina pectoris
546,547,Ischaemic heart diseases ,I25.0,I25,ICD10,Sundmacher et al (2015),ERROR,Chronic ischemic heart disease
547,548,Ischaemic heart diseases ,I25.1,I25,ICD10,Sundmacher et al (2015),Atherosclerotic heart disease of native coronary artery,Chronic ischemic heart disease
548,549,Ischaemic heart diseases ,I25.5,I25,ICD10,Sundmacher et al (2015),Ischemic cardiomyopathy,Chronic ischemic heart disease
549,550,Ischaemic heart diseases ,I25.6,I25,ICD10,Sundmacher et al (2015),Silent myocardial ischemia,Chronic ischemic heart disease
550,551,Ischaemic heart diseases ,I25.8,I25,ICD10,Sundmacher et al (2015),Other forms of chronic ischemic heart disease,Chronic ischemic heart disease
551,552,Ischaemic heart diseases ,I25.9,I25,ICD10,Sundmacher et al (2015),"Chronic ischemic heart disease, unspecified",Chronic ischemic heart disease
552,553,Heart failure ,I50,I50,ICD10,Sundmacher et al (2015),Heart failure,Heart failure
553,554,Other diseases of the circulatory system,I05,I05,ICD10,Sundmacher et al (2015),Rheumatic mitral valve diseases,Rheumatic mitral valve diseases
554,555,Other diseases of the circulatory system,I06,I06,ICD10,Sundmacher et al (2015),Rheumatic aortic valve diseases,Rheumatic aortic valve diseases
555,556,Other diseases of the circulatory system,I08.0,I08,ICD10,Sundmacher et al (2015),Rheumatic disorders of both mitral and aortic valves,Multiple valve diseases
556,557,Other diseases of the circulatory system,I49.8,I49,ICD10,Sundmacher et al (2015),Other specified cardiac arrhythmias,Other cardiac arrhythmias
557,558,Other diseases of the circulatory system,I49.9,I49,ICD10,Sundmacher et al (2015),"Cardiac arrhythmia, unspecified",Other cardiac arrhythmias
558,559,Other diseases of the circulatory system,I67.2,I67,ICD10,Sundmacher et al (2015),Cerebral atherosclerosis,Other cerebrovascular diseases
559,560,Other diseases of the circulatory system,I67.4,I67,ICD10,Sundmacher et al (2015),Hypertensive encephalopathy,Other cerebrovascular diseases
560,561,Other diseases of the circulatory system,I70,I70,ICD10,Sundmacher et al (2015),Atherosclerosis,Atherosclerosis
561,562,Other diseases of the circulatory system,I73,I73,ICD10,Sundmacher et al (2015),Other peripheral vascular diseases,Other peripheral vascular diseases
562,563,Other diseases of the circulatory system,I78,I78,ICD10,Sundmacher et al (2015),Diseases of capillaries,Diseases of capillaries
563,564,Other diseases of the circulatory system,I80.0,I80,ICD10,Sundmacher et al (2015),Phlebitis and thrombophlebitis of superficial vessels of lower extremities,Phlebitis and thrombophlebitis
564,565,Other diseases of the circulatory system,I80.80,I80,ICD10,Sundmacher et al (2015),ERROR,Phlebitis and thrombophlebitis
565,566,Other diseases of the circulatory system,I83a,I83,ICD10,Sundmacher et al (2015),ERROR,Varicose veins of lower extremities
566,567,Other diseases of the circulatory system,I86,I86,ICD10,Sundmacher et al (2015),Varicose veins of other sites,Varicose veins of other sites
567,568,Other diseases of the circulatory system,I87,I87,ICD10,Sundmacher et al (2015),Other disorders of veins,Other disorders of veins
568,569,Other diseases of the circulatory system,I95,I95,ICD10,Sundmacher et al (2015),Hypotension,Hypotension
569,570,Other diseases of the circulatory system,R00.0,R00,ICD10,Sundmacher et al (2015),"Tachycardia, unspecified",Abnormalities of heart beat
570,571,Other diseases of the circulatory system,R00.2,R00,ICD10,Sundmacher et al (2015),Palpitations,Abnormalities of heart beat
571,572,Other diseases of the circulatory system,R47.0,R47,ICD10,Sundmacher et al (2015),Dysphasia and aphasia,"Speech disturbances, not elsewhere classified"
572,573,Other diseases of the circulatory system,I83,I83,ICD10,Sundmacher et al (2015),Varicose veins of lower extremities,Varicose veins of lower extremities
573,574,Other diseases of the circulatory system,I86,I86,ICD10,Sundmacher et al (2015),Varicose veins of other sites,Varicose veins of other sites
574,575,Other diseases of the circulatory system,I87,I87,ICD10,Sundmacher et al (2015),Other disorders of veins,Other disorders of veins
575,576,Other diseases of the circulatory system,I95,I95,ICD10,Sundmacher et al (2015),Hypotension,Hypotension
576,577,Other diseases of the circulatory system,R00.0,R00,ICD10,Sundmacher et al (2015),"Tachycardia, unspecified",Abnormalities of heart beat
577,578,Other diseases of the circulatory system,R00.2,R00,ICD10,Sundmacher et al (2015),Palpitations,Abnormalities of heart beat
578,579,Other diseases of the circulatory system,R47.0,R47,ICD10,Sundmacher et al (2015),Dysphasia and aphasia,"Speech disturbances, not elsewhere classified"
579,580,Bronchitis & COPD,J20,J20,ICD10,Sundmacher et al (2015),Acute bronchitis,Acute bronchitis
580,581,Bronchitis & COPD,J21,J21,ICD10,Sundmacher et al (2015),Acute bronchiolitis,Acute bronchiolitis
581,582,Bronchitis & COPD,J40,J40,ICD10,Sundmacher et al (2015),"Bronchitis, not specified as acute or chronic","Bronchitis, not specified as acute or chronic"
582,583,Bronchitis & COPD,J41,J41,ICD10,Sundmacher et al (2015),Simple and mucopurulent chronic bronchitis,Simple and mucopurulent chronic bronchitis
583,584,Bronchitis & COPD,J42,J42,ICD10,Sundmacher et al (2015),Unspecified chronic bronchitis,Unspecified chronic bronchitis
584,585,Bronchitis & COPD,J43,J43,ICD10,Sundmacher et al (2015),Emphysema,Emphysema
585,586,Bronchitis & COPD,J47,J47,ICD10,Sundmacher et al (2015),Bronchiectasis,Bronchiectasis
586,587,Mental and behavioural disorders due to use of alcohol or opioids,F10,F10,ICD10,Sundmacher et al (2015),Alcohol related disorders,Alcohol related disorders
587,588,Mental and behavioural disorders due to use of alcohol or opioids,F11,F11,ICD10,Sundmacher et al (2015),Opioid related disorders,Opioid related disorders
588,589,Back pain [dorsopathies],M42,M42,ICD10,Sundmacher et al (2015),Spinal osteochondrosis,Spinal osteochondrosis
589,590,Back pain [dorsopathies],M47,M47,ICD10,Sundmacher et al (2015),Spondylosis,Spondylosis
590,591,Back pain [dorsopathies],M53,M53,ICD10,Sundmacher et al (2015),"Other and unspecified dorsopathies, not elsewhere classified","Other and unspecified dorsopathies, not elsewhere classified"
591,592,Back pain [dorsopathies],M54,M54,ICD10,Sundmacher et al (2015),Dorsalgia,Dorsalgia
592,593,Hypertension ,I10,I10,ICD10,Sundmacher et al (2015),Essential (primary) hypertension,Essential (primary) hypertension
593,594,Hypertension ,I11,I11,ICD10,Sundmacher et al (2015),Hypertensive heart disease,Hypertensive heart disease
594,595,Hypertension ,I12,I12,ICD10,Sundmacher et al (2015),Hypertensive chronic kidney disease,Hypertensive chronic kidney disease
595,596,Hypertension ,I13,I13,ICD10,Sundmacher et al (2015),Hypertensive heart and chronic kidney disease,Hypertensive heart and chronic kidney disease
596,597,Hypertension ,I14,I14,ICD10,Sundmacher et al (2015),ERROR,ERROR
597,598,Hypertension ,I15,I15,ICD10,Sundmacher et al (2015),Secondary hypertension,Secondary hypertension
598,599,Gastroenteritis and other diseases of intestines ,K52.2,K52,ICD10,Sundmacher et al (2015),Allergic and dietetic gastroenteritis and colitis,Other and unspecified noninfective gastroenteritis and colitis
599,600,Gastroenteritis and other diseases of intestines ,K52.8,K52,ICD10,Sundmacher et al (2015),Other specified noninfective gastroenteritis and colitis,Other and unspecified noninfective gastroenteritis and colitis
600,601,Gastroenteritis and other diseases of intestines ,K52.9,K52,ICD10,Sundmacher et al (2015),"Noninfective gastroenteritis and colitis, unspecified",Other and unspecified noninfective gastroenteritis and colitis
601,602,Gastroenteritis and other diseases of intestines ,K57,K57,ICD10,Sundmacher et al (2015),Diverticular disease of intestine,Diverticular disease of intestine
