id;original_description;code;nearest_level1_code;original_code_system;article;code_description;level1_code_description;umls_cui;level1_umls_cui
371;Lower limb ulcer except decubitus;707.1;707;ICD9;Sanderson et al (2000);Ulcer of lower limbs, except pressure ulcer;Chronic ulcer of skin;C2349630;C0157738
372;Ingrowing toenail;703.0;703;ICD9;Sanderson et al (2000);Ingrowing nail;Diseases of nail;C0027343;C0027339
373;Ganglion and cyst of synovium, tendon and bursa;727.4;727;ICD9;Sanderson et al (2000);Ganglion and cyst of synovium, tendon, and bursa;Other disorders of synovium, tendon, and bursa;C0349693;C0158326
374;Fracture of radius & ulna (lower,closed);813.4;813;ICD9;Sanderson et al (2000);Fracture of lower end of radius and ulna, closed;Fracture of radius and ulna;C0159738;C0159710
375;Tuberculosis;11;11;ICD9;Caminal et al (2004);Pulmonary tuberculosis;Pulmonary tuberculosis;C0041327;C0041327
376;Tuberculosis;11;11;ICD9;Caminal et al (2004);Pulmonary tuberculosis;Pulmonary tuberculosis;C0041327;C0041327
377;Tuberculosis;12;12;ICD9;Caminal et al (2004);Other respiratory tuberculosis;Other respiratory tuberculosis;C0152620;C0152620
378;Tuberculosis;13;13;ICD9;Caminal et al (2004);Tuberculosis of meninges and central nervous system;Tuberculosis of meninges and central nervous system;C0152654;C0152654
379;Tuberculosis;14;14;ICD9;Caminal et al (2004);Tuberculosis of intestines, peritoneum, and mesenteric glands;Tuberculosis of intestines, peritoneum, and mesenteric glands;C0152717;C0152717
380;Tuberculosis;15;15;ICD9;Caminal et al (2004);Tuberculosis of bones and joints;Tuberculosis of bones and joints;C0041324;C0041324
381;Tuberculosis;16;16;ICD9;Caminal et al (2004);Tuberculosis of genitourinary system;Tuberculosis of genitourinary system;C0041333;C0041333
382;Tuberculosis;17;17;ICD9;Caminal et al (2004);Tuberculosis of other organs;Tuberculosis of other organs;C0041300;C0041300
383;Immunization and preventable infectious diseases;18;18;ICD9;Caminal et al (2004);Miliary tuberculosis;Miliary tuberculosis;C0041321;C0041321
384;Immunization and preventable infectious diseases;37;37;ICD9;Caminal et al (2004);Tetanus;Tetanus;C0039614;C0039614
385;Immunization and preventable infectious diseases;45;45;ICD9;Caminal et al (2004);Acute poliomyelitis;Acute poliomyelitis;C0032371;C0032371
386;Congenital syphilis;90;90;ICD9;Caminal et al (2004);Congenital syphilis;Congenital syphilis;C0039131;C0039131
387;Diabetes mellitus;250.0;250;ICD9;Caminal et al (2004);Diabetes mellitus without mention of complication;Diabetes mellitus;C0271635;C0011849
388;Diabetes mellitus;250.1;250;ICD9;Caminal et al (2004);Diabetes with ketoacidosis;Diabetes mellitus;C0011880;C0011849
389;Diabetes mellitus;250.2;250;ICD9;Caminal et al (2004);Diabetes mellitus with hyperosmolarity;Diabetes mellitus;C0375121;C0011849
390;Diabetes mellitus;250.3;250;ICD9;Caminal et al (2004);Diabetes with other coma;Diabetes mellitus;C0011870;C0011849
391;Diabetes mellitus;250.7;250;ICD9;Caminal et al (2004);Diabetes with peripheral circulatory disorders;Diabetes mellitus;C0011871;C0011849
392;Diabetes mellitus;250.8;250;ICD9;Caminal et al (2004);Diabetes with other specified manifestations;Diabetes mellitus;C0154183;C0011849
393;Diabetes mellitus;251.0;251;ICD9;Caminal et al (2004);Hypoglycemic coma;Other disorders of pancreatic internal secretion;C0020617;C0154189
394;Diabetes mellitus;785.4;785;ICD9;Caminal et al (2004);Gangrene;Symptoms involving cardiovascular system;C0017086;C0159049
395;Diabetes mellitus;250.7;250;ICD9;Caminal et al (2004);Diabetes with peripheral circulatory disorders;Diabetes mellitus;C0011871;C0011849
396;Disorders of hydro-electrolyte metabolism;276.5;276;ICD9;Caminal et al (2004);Volume depletion;Disorders of fluid, electrolyte, and acid-base balance;C0546884;C0267994
397;Disorders of hydro-electrolyte metabolism;276.8;276;ICD9;Caminal et al (2004);Hypopotassemia;Disorders of fluid, electrolyte, and acid-base balance;C0020621;C0267994
398;Iron deficiency anemias;280;280;ICD9;Caminal et al (2004);Iron deficiency anemias;Iron deficiency anemias;C0162316;C0162316
399;Gangrene + Diabetes with peripheral circulatory disorders;320.0;320;ICD9;Caminal et al (2004);Hemophilus meningitis;Bacterial meningitis;C0025292;C0085437
400;Convulsions;345;345;ICD9;Caminal et al (2004);Epilepsy and recurrent seizures;Epilepsy and recurrent seizures;C1719410;C1719410
401;Diseases of the upper respiratory tract;382;382;ICD9;Caminal et al (2004);Suppurative and unspecified otitis media;Suppurative and unspecified otitis media;C0029888;C0029888
402;Immunization and preventable infectious diseases;390;390;ICD9;Caminal et al (2004);Rheumatic fever without mention of heart involvement;Rheumatic fever without mention of heart involvement;C0264743;C0264743
403;Immunization and preventable infectious diseases;391;391;ICD9;Caminal et al (2004);Rheumatic fever with heart involvement;Rheumatic fever with heart involvement;C3536892;C3536892
404;Hypertensive heart disease;401;401;ICD9;Caminal et al (2004);Essential hypertension;Essential hypertension;C0085580;C0085580
405;Hypertensive heart disease;402.00;402;ICD9;Caminal et al (2004);Malignant hypertensive heart disease without heart failure;Hypertensive heart disease;C1135328;C0152105
406;Hypertensive heart disease;402.10;402;ICD9;Caminal et al (2004);Benign hypertensive heart disease without heart failure;Hypertensive heart disease;C1135330;C0152105
407;Hypertensive heart disease;403;403;ICD9;Caminal et al (2004);Hypertensive chronic kidney disease;Hypertensive chronic kidney disease;C3695318;C3695318
408;Hypertensive heart disease;404;404;ICD9;Caminal et al (2004);Hypertensive heart and chronic kidney disease;Hypertensive heart and chronic kidney disease;C1719469;C1719469
409;Hypertensive heart disease;405;405;ICD9;Caminal et al (2004);Secondary hypertension;Secondary hypertension;C0155616;C0155616
410;Heart failure;402.01;402;ICD9;Caminal et al (2004);Malignant hypertensive heart disease with heart failure;Hypertensive heart disease;C1135329;C0152105
411;Heart failure;402.11;402;ICD9;Caminal et al (2004);Benign hypertensive heart disease with heart failure;Hypertensive heart disease;C1135331;C0152105
412;Heart failure;402.91;402;ICD9;Caminal et al (2004);Unspecified hypertensive heart disease with heart failure;Hypertensive heart disease;C1135333;C0152105
413;Hypertensive heart disease;410;410;ICD9;Caminal et al (2004);Acute myocardial infarction;Acute myocardial infarction;C0155626;C0155626
414;Hypertensive heart disease;411;411;ICD9;Caminal et al (2004);Other acute and subacute forms of ischemic heart disease;Other acute and subacute forms of ischemic heart disease;C0340283;C0340283
415;Hypertensive heart disease;412;412;ICD9;Caminal et al (2004);Old myocardial infarction;Old myocardial infarction;C0155668;C0155668
416;Hypertensive heart disease;413;413;ICD9;Caminal et al (2004);Angina pectoris;Angina pectoris;C0002962;C0002962
417;Hypertensive heart disease;414;414;ICD9;Caminal et al (2004);Other forms of chronic ischemic heart disease;Other forms of chronic ischemic heart disease;C0155669;C0155669
418;Heart failure;428;428;ICD9;Caminal et al (2004);Heart failure;Heart failure;C0018801;C0018801
419;Hypertensive heart disease;430;430;ICD9;Caminal et al (2004);Subarachnoid hemorrhage;Subarachnoid hemorrhage;C0038525;C0038525
420;Hypertensive heart disease;431;431;ICD9;Caminal et al (2004);Intracerebral hemorrhage;Intracerebral hemorrhage;C2937358;C2937358
421;Hypertensive heart disease;436;436;ICD9;Caminal et al (2004);Acute, but ill-defined, cerebrovascular disease;Acute, but ill-defined, cerebrovascular disease;C0001365;C0001365
422;Hypertensive heart disease;437.2;437;ICD9;Caminal et al (2004);Hypertensive encephalopathy;Other and ill-defined cerebrovascular disease;C0151620;C0155729
423;Diseases of the upper respiratory tract;463;463;ICD9;Caminal et al (2004);Acute tonsillitis;Acute tonsillitis;C0001361;C0001361
424;Diseases of the upper respiratory tract;465;465;ICD9;Caminal et al (2004);Acute upper respiratory infections of multiple or unspecified sites;Acute upper respiratory infections of multiple or unspecified sites;C0155816;C0155816
425;Diseases of the upper respiratory tract;475;475;ICD9;Caminal et al (2004);Peritonsillar abscess;Peritonsillar abscess;C0031157;C0031157
426;Pneumonia;481;481;ICD9;Caminal et al (2004);Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia];Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia];C0155862;C0155862
427;Pneumonia;482.2;482;ICD9;Caminal et al (2004);Pneumonia due to Hemophilus influenzae [H. influenzae];Other bacterial pneumonia;C0276026;C0155858
428;Pneumonia;482.3;482;ICD9;Caminal et al (2004);Pneumonia due to Streptococcus;Other bacterial pneumonia;C0155862;C0155858
429;Pneumonia;482.9;482;ICD9;Caminal et al (2004);Bacterial pneumonia, unspecified;Other bacterial pneumonia;C0004626;C0155858
430;Pneumonia;483;483;ICD9;Caminal et al (2004);Pneumonia due to other specified organism;Pneumonia due to other specified organism;C0032287;C0032287
431;Pneumonia;485;485;ICD9;Caminal et al (2004);Bronchopneumonia, organism unspecified;Bronchopneumonia, organism unspecified;C0006285;C0006285
432;Pneumonia;486;486;ICD9;Caminal et al (2004);Pneumonia, organism unspecified;Pneumonia, organism unspecified;C0339951;C0339951
433;Bronchitis / Chronic obstructive pulmonary disease (COAD);466.0;466;ICD9;Caminal et al (2004);Acute bronchitis;Acute bronchitis and bronchiolitis;C0149514;C0155820
434;Bronchitis / Chronic obstructive pulmonary disease (COAD);490;490;ICD9;Caminal et al (2004);Bronchitis, not specified as acute or chronic;Bronchitis, not specified as acute or chronic;C0006277;C0006277
435;Bronchitis / Chronic obstructive pulmonary disease (COAD);491;491;ICD9;Caminal et al (2004);Chronic bronchitis;Chronic bronchitis;C0008677;C0008677
436;Bronchitis / Chronic obstructive pulmonary disease (COAD);492;492;ICD9;Caminal et al (2004);Emphysema;Emphysema;C0034067;C0034067
437;Bronchitis / Chronic obstructive pulmonary disease (COAD);494;494;ICD9;Caminal et al (2004);Bronchiectasis;Bronchiectasis;C0006267;C0006267
438;Bronchitis / Chronic obstructive pulmonary disease (COAD);496;496;ICD9;Caminal et al (2004);Chronic airway obstruction, not elsewhere classified;Chronic airway obstruction, not elsewhere classified;C0302378;C0302378
439;Asthma;493;493;ICD9;Caminal et al (2004);Asthma;Asthma;C0004096;C0004096
440;Heart failure;518.4;518;ICD9;Caminal et al (2004);Acute edema of lung, unspecified;Other diseases of lung;C0155919;C0348712
441;Bleeding or perforating ulcer;531.0;531;ICD9;Caminal et al (2004);Acute gastric ulcer with hemorrhage;Gastric ulcer;C0155967;C0038358
442;Bleeding or perforating ulcer;531.2;531;ICD9;Caminal et al (2004);Acute gastric ulcer with hemorrhage and perforation;Gastric ulcer;C0155973;C0038358
443;Bleeding or perforating ulcer;531.4;531;ICD9;Caminal et al (2004);Chronic or unspecified gastric ulcer with hemorrhage;Gastric ulcer;C0155979;C0038358
444;Bleeding or perforating ulcer;531.6;531;ICD9;Caminal et al (2004);Chronic or unspecified gastric ulcer with hemorrhage and perforation;Gastric ulcer;C0494723;C0038358
445;Bleeding or perforating ulcer;532.0;532;ICD9;Caminal et al (2004);Acute duodenal ulcer with hemorrhage;Duodenal ulcer;C0155992;C0013295
446;Bleeding or perforating ulcer;532.2;532;ICD9;Caminal et al (2004);Acute duodenal ulcer with hemorrhage and perforation;Duodenal ulcer;C0155998;C0013295
447;Bleeding or perforating ulcer;532.4;532;ICD9;Caminal et al (2004);Chronic or unspecified duodenal ulcer with hemorrhage;Duodenal ulcer;C0156004;C0013295
448;Bleeding or perforating ulcer;532.6;532;ICD9;Caminal et al (2004);Chronic or unspecified duodenal ulcer with hemorrhage and perforation;Duodenal ulcer;C0494726;C0013295
449;Bleeding or perforating ulcer;533.0;533;ICD9;Caminal et al (2004);Acute peptic ulcer of unspecified site with hemorrhage;Peptic ulcer, site unspecified;C0267288;C0030920
450;Bleeding or perforating ulcer;533.2;533;ICD9;Caminal et al (2004);Acute peptic ulcer of unspecified site with hemorrhage and perforation;Peptic ulcer, site unspecified;C0267294;C0030920
451;Bleeding or perforating ulcer;533.4;533;ICD9;Caminal et al (2004);Chronic or unspecified peptic ulcer of unspecified site with hemorrhage;Peptic ulcer, site unspecified;C0494730;C0030920
452;Bleeding or perforating ulcer;533.6;533;ICD9;Caminal et al (2004);Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation;Peptic ulcer, site unspecified;C0494732;C0030920
453;Appendicitis with complication;540.0;540;ICD9;Caminal et al (2004);Acute appendicitis with generalized peritonitis;Acute appendicitis;C0156092;C0085693
454;Appendicitis with complication;540.1;540;ICD9;Caminal et al (2004);Acute appendicitis with peritoneal abscess;Acute appendicitis;C0156093;C0085693
455;Gastroenteritis;558.9;558;ICD9;Caminal et al (2004);Other and unspecified noninfectious gastroenteritis and colitis;Other and unspecified noninfectious gastroenteritis and colitis;C0029512;C0029512
456;Urinary tract infections;590.0;590;ICD9;Caminal et al (2004);Chronic pyelonephritis;Infections of kidney;C0085697;C0021313
457;Urinary tract infections;590.1;590;ICD9;Caminal et al (2004);Acute pyelonephritis;Infections of kidney;C0520575;C0021313
458;Urinary tract infections;599.0;599;ICD9;Caminal et al (2004);Urinary tract infection, site not specified;Other disorders of urethra and urinary tract;C0042029;C0546812
459;Urinary tract infections;590.8;590;ICD9;Caminal et al (2004);Other pyelonephritis or pyonephrosis, not specified as acute or chronic;Infections of kidney;C0156255;C0021313
460;Pelvic inflammatory disease;614;614;ICD9;Caminal et al (2004);Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum;Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum;C0156326;C0156326
461;Disease of the skin and subcutaneous tissue;681;681;ICD9;Caminal et al (2004);Cellulitis and abscess of finger and toe;Cellulitis and abscess of finger and toe;C0157690;C0157690
462;Disease of the skin and subcutaneous tissue;682;682;ICD9;Caminal et al (2004);Other cellulitis and abscess;Other cellulitis and abscess;C0157695;C0157695
463;Disease of the skin and subcutaneous tissue;683;683;ICD9;Caminal et al (2004);Acute lymphadenitis;Acute lymphadenitis;C0157705;C0157705
464;Disease of the skin and subcutaneous tissue;686;686;ICD9;Caminal et al (2004);Other local infections of skin and subcutaneous tissue;Other local infections of skin and subcutaneous tissue;C0157707;C0157707
465;Convulsions;780.3;780;ICD9;Caminal et al (2004);Convulsions;General symptoms;C4048158;C0159028
466;Gastroenteritis;A080;A080;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
467;Gastroenteritis;A081;A081;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
468;Gastroenteritis;A082;A082;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
469;Gastroenteritis;A083;A083;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
470;Gastroenteritis;A084;A084;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
471;Gastroenteritis;A085;A085;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
472;Gastroenteritis;A090;A090;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
473;Gastroenteritis;A099;A099;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
474;Volume depletion and other disorders of electrolyte and acid-base balance;E86;E86;ICD10;Jones et al (2018);Volume depletion;Volume depletion;C0546884;C0546884
475;Volume depletion and other disorders of electrolyte and acid-base balance;E87;E87;ICD10;Jones et al (2018);Other disorders of fluid, electrolyte and acid-base balance;Other disorders of fluid, electrolyte and acid-base balance;C0494355;C0494355
476;Physiological jaundice;P59.3;P59;ICD10;Jones et al (2018);Neonatal jaundice from breast milk inhibitor;Neonatal jaundice from other and unspecified causes;C0270215;C0158977
477;Physiological jaundice;P59.9;P59;ICD10;Jones et al (2018);Neonatal jaundice, unspecified;Neonatal jaundice from other and unspecified causes;C0022353;C0158977
478;Feeding difficulties;P92.2;P92;ICD10;Jones et al (2018);Slow feeding of newborn;Feeding problems of newborn;C0270273;C0159023
479;Feeding difficulties;P92.3;P92;ICD10;Jones et al (2018);Underfeeding of newborn;Feeding problems of newborn;C0410924;C0159023
480;Feeding difficulties;P92.4;P92;ICD10;Jones et al (2018);Overfeeding of newborn;Feeding problems of newborn;C0410925;C0159023
481;Feeding difficulties;P92.5;P92;ICD10;Jones et al (2018);Neonatal difficulty in feeding at breast;Feeding problems of newborn;C0495462;C0159023
482;Feeding difficulties;P92.8;P92;ICD10;Jones et al (2018);Other feeding problems of newborn;Feeding problems of newborn;C0477964;C0159023
483;Feeding difficulties;P92.9;P92;ICD10;Jones et al (2018);Feeding problem of newborn, unspecified;Feeding problems of newborn;C0159023;C0159023
484;Physiological jaundice;R17X;R17X;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
485;Feeding difficulties;R63.3;R63;ICD10;Jones et al (2018);Feeding difficulties;Symptoms and signs concerning food and fluid intake;C0232466;C3646024
486;Physiological jaundice;S128;S128;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
487;Physiological jaundice;S129;S129;ICD10;Jones et al (2018);ERROR;ERROR;ERROR - atom;ERROR - atom
488;Diabetes Mellitus Type 2;E11;E11;ICD10;Bohnet-Joschko (2022);Type 2 diabetes mellitus;Type 2 diabetes mellitus;C0011847;C0011847
489;Volume depletion and other disorders of electrolyte and acid-base balance;E86;E86;ICD10;Bohnet-Joschko (2022);Volume depletion;Volume depletion;C0546884;C0546884
490;Volume depletion and other disorders of electrolyte and acid-base balance;E87;E87;ICD10;Bohnet-Joschko (2022);Other disorders of fluid, electrolyte and acid-base balance;Other disorders of fluid, electrolyte and acid-base balance;C0494355;C0494355
491;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K08;K08;ICD10;Bohnet-Joschko (2022);Other disorders of teeth and supporting structures;Other disorders of teeth and supporting structures;C0494707;C0494707
492;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K21;K21;ICD10;Bohnet-Joschko (2022);Gastro-esophageal reflux disease;Gastro-esophageal reflux disease;C0017168;C0017168
493;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K25;K25;ICD10;Bohnet-Joschko (2022);Gastric ulcer;Gastric ulcer;C1275742;C1275742
494;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K26;K26;ICD10;Bohnet-Joschko (2022);Duodenal ulcer;Duodenal ulcer;C0013295;C0013295
495;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K29;K29;ICD10;Bohnet-Joschko (2022);Gastritis and duodenitis;Gastritis and duodenitis;C0267166;C0267166
496;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K52;K52;ICD10;Bohnet-Joschko (2022);Other and unspecified noninfective gastroenteritis and colitis;Other and unspecified noninfective gastroenteritis and colitis;C0029512;C0029512
497;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K57;K57;ICD10;Bohnet-Joschko (2022);Diverticular disease of intestine;Diverticular disease of intestine;C4317009;C4317009
498;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K59;K59;ICD10;Bohnet-Joschko (2022);Other functional intestinal disorders;Other functional intestinal disorders;C0341089;C0341089
499;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;K62;K62;ICD10;Bohnet-Joschko (2022);Other diseases of anus and rectum;Other diseases of anus and rectum;C4544984;C4544984
500;Gastrointestinal ulcers and inflammation, esophageal reflux disease, functional bowel disorders, dysphagia;R13;R13;ICD10;Bohnet-Joschko (2022);Aphagia and dysphagia;Aphagia and dysphagia;C2910400;C2910400
501;Intestinal infections;A04;A04;ICD10;Bohnet-Joschko (2022);Other bacterial intestinal infections;Other bacterial intestinal infections;C0494023;C0494023
502;Intestinal infections;A08;A08;ICD10;Bohnet-Joschko (2022);Viral and other specified intestinal infections;Viral and other specified intestinal infections;C0494032;C0494032
503;Intestinal infections;A09;A09;ICD10;Bohnet-Joschko (2022);Infectious gastroenteritis and colitis, unspecified;Infectious gastroenteritis and colitis, unspecified;C0021342;C0021342
504;Intestinal infections;R11;R11;ICD10;Bohnet-Joschko (2022);Nausea and vomiting;Nausea and vomiting;C0027498;C0027498
505;Chronic kidney disease, cystitis, other diseases of the urinary system.;N18;N18;ICD10;Bohnet-Joschko (2022);Chronic kidney disease (CKD);Chronic kidney disease (CKD);C1561643;C1561643
506;Chronic kidney disease, cystitis, other diseases of the urinary system.;N30;N30;ICD10;Bohnet-Joschko (2022);Cystitis;Cystitis;C0010692;C0010692
507;Chronic kidney disease, cystitis, other diseases of the urinary system.;N39;N39;ICD10;Bohnet-Joschko (2022);Other disorders of urinary system;Other disorders of urinary system;C0178288;C0178288
508;Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome);F01;F01;ICD10;Bohnet-Joschko (2022);Vascular dementia;Vascular dementia;C0011263;C0011263
509;Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome);G20;G20;ICD10;Bohnet-Joschko (2022);Parkinson's disease;Parkinson's disease;C0030567;C0030567
510;Dementia (vascular or Alzheimer's disease, primary Parkinson's syndrome);G30;G30;ICD10;Bohnet-Joschko (2022);Alzheimer's disease;Alzheimer's disease;C0002395;C0002395
511;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F05;F05;ICD10;Bohnet-Joschko (2022);Delirium due to known physiological condition;Delirium due to known physiological condition;;
512;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F06;F06;ICD10;Bohnet-Joschko (2022);Other mental disorders due to known physiological condition;Other mental disorders due to known physiological condition;;
513;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F07;F07;ICD10;Bohnet-Joschko (2022);Personality and behavioral disorders due to known physiological condition;Personality and behavioral disorders due to known physiological condition;C2874363;C2874363
514;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F10;F10;ICD10;Bohnet-Joschko (2022);Alcohol related disorders;Alcohol related disorders;C0236664;C0236664
515;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F20;F20;ICD10;Bohnet-Joschko (2022);Schizophrenia;Schizophrenia;C0036341;C0036341
516;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F32;F32;ICD10;Bohnet-Joschko (2022);Depressive episode;Depressive episode;C0349217;C0349217
517;Mental disorders, personality or behavioral disorders, depressive disorder, schizoaffective disorder and schizophrenia, delirium;F33;F33;ICD10;Bohnet-Joschko (2022);Major depressive disorder, recurrent;Major depressive disorder, recurrent;;
518;Other diseases of the nervous system (MS, epilepsy);G35;G35;ICD10;Bohnet-Joschko (2022);Multiple sclerosis;Multiple sclerosis;C0026769;C0026769
519;Other diseases of the nervous system (MS, epilepsy);G40;G40;ICD10;Bohnet-Joschko (2022);Epilepsy and recurrent seizures;Epilepsy and recurrent seizures;C1719410;C1719410
520;Cataracta Senilis;H25;H25;ICD10;Bohnet-Joschko (2022);Age-related cataract;Age-related cataract;C0036646;C0036646
521;Anemias of different origin ;D50;D50;ICD10;Bohnet-Joschko (2022);Iron deficiency anemia;Iron deficiency anemia;C0008272;C0008272
522;Anemias of different origin ;D64;D64;ICD10;Bohnet-Joschko (2022);Other anemias;Other anemias;C0472702;C0472702
523;Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.;I10;I10;ICD10;Bohnet-Joschko (2022);Essential (primary) hypertension;Essential (primary) hypertension;C0085580;C0085580
524;Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.;I50;I50;ICD10;Bohnet-Joschko (2022);Heart failure;Heart failure;C0018801;C0018801
525;Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.;I70;I70;ICD10;Bohnet-Joschko (2022);Atherosclerosis;Atherosclerosis;C0264956;C0264956
526;Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.;I80;I80;ICD10;Bohnet-Joschko (2022);Phlebitis and thrombophlebitis;Phlebitis and thrombophlebitis;C0031542;C0031542
527;Hypertension, hypotension, atherosclerosis, heart failure, thrombosis, phlebitis and thrombophlebitis.;I95;I95;ICD10;Bohnet-Joschko (2022);Hypotension;Hypotension;C0020649;C0020649
528;Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.;J10;J10;ICD10;Bohnet-Joschko (2022);Influenza due to other identified influenza virus;Influenza due to other identified influenza virus;C0276353;C0276353
529;Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.;J20;J20;ICD10;Bohnet-Joschko (2022);Acute bronchitis;Acute bronchitis;C0149514;C0149514
530;Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.;J22;J22;ICD10;Bohnet-Joschko (2022);Unspecified acute lower respiratory infection;Unspecified acute lower respiratory infection;C0238990;C0238990
531;Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.;J40;J40;ICD10;Bohnet-Joschko (2022);Bronchitis, not specified as acute or chronic;Bronchitis, not specified as acute or chronic;C0006277;C0006277
532;Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.;J44;J44;ICD10;Bohnet-Joschko (2022);Other chronic obstructive pulmonary disease;Other chronic obstructive pulmonary disease;;
533;Other acute/chronic lower respiratory tract infections and influenza, sore throat and chest pain.;R07;R07;ICD10;Bohnet-Joschko (2022);Pain in throat and chest;Pain in throat and chest;C0495666;C0495666
534;Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma;A46;A46;ICD10;Bohnet-Joschko (2022);Erysipelas;Erysipelas;C0014733;C0014733
535;Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma;C44;C44;ICD10;Bohnet-Joschko (2022);Other and unspecified malignant neoplasm of skin;Other and unspecified malignant neoplasm of skin;C1321904;C1321904
536;Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma;L02;L02;ICD10;Bohnet-Joschko (2022);Cutaneous abscess, furuncle and carbuncle;Cutaneous abscess, furuncle and carbuncle;C0494813;C0494813
537;Skin infections, decubital ulcer and pressure zone, skin cancer exclusive melanoma;L89;L89;ICD10;Bohnet-Joschko (2022);Pressure ulcer;Pressure ulcer;C0011127;C0011127
538;Back pain, disturbances of gait and mobility;M54;M54;ICD10;Bohnet-Joschko (2022);Dorsalgia;Dorsalgia;C0004604;C0004604
539;Back pain, disturbances of gait and mobility;R26;R26;ICD10;Bohnet-Joschko (2022);Abnormalities of gait and mobility;Abnormalities of gait and mobility;C0495683;C0495683
540;Superficial injuries of various parts of the body;S00;S00;ICD10;Bohnet-Joschko (2022);Superficial injury of head;Superficial injury of head;C0347536;C0347536
541;Superficial injuries of various parts of the body;S01;S01;ICD10;Bohnet-Joschko (2022);Open wound of head;Open wound of head;C0273239;C0273239
542;Superficial injuries of various parts of the body;S20;S20;ICD10;Bohnet-Joschko (2022);Superficial injury of thorax;Superficial injury of thorax;C1439255;C1439255
543;Superficial injuries of various parts of the body;S30;S30;ICD10;Bohnet-Joschko (2022);Superficial injury of abdomen, lower back, pelvis and external genitals;Superficial injury of abdomen, lower back, pelvis and external genitals;C2836767;C2836767
544;Superficial injuries of various parts of the body;S70;S70;ICD10;Bohnet-Joschko (2022);Superficial injury of hip and thigh;Superficial injury of hip and thigh;C0495927;C0495927
545;Superficial injuries of various parts of the body;S80;S80;ICD10;Bohnet-Joschko (2022);Superficial injury of knee and lower leg;Superficial injury of knee and lower leg;C2860302;C2860302
546;Ischaemic heart diseases ;I20;I20;ICD10;Sundmacher et al (2015);Angina pectoris;Angina pectoris;C0002962;C0002962
547;Ischaemic heart diseases ;I25.0;I25;ICD10;Sundmacher et al (2015);ERROR;Chronic ischemic heart disease;ERROR - atom;C0264694
